Nombre_fichero;N_Pistas;melody;bass;piano_rh;piano_lh;mixdown;;;
Romanticism_Post-romanticism_Saint_Saens_gp_danse.mid;22;12 17;22;;;;;AWE 64 GOLD;OK
Romanticism_Romantic-Nationalism_Breton_Breton_EscenasAndaluzas-1.mid;27;1 2;14 23;;;;Flautin;Tuba;OK
Romanticism_Romantic-Nationalism_Dvorak_17ad055.mid;9;1;;2;3;;vocal - viola ;piano;OK
Romanticism_Romantic-Nationalism_German_1280puck2reg.mid;2;;;1;2;;Staff;Staff-1;OK
Romanticism_Romantic-Nationalism_Lecocq_lecocq_angot_06c.mid;4;1; ;3;4;;T1;T2;OK
Romanticism_Romantic-Nationalism_Lyapunov_Lyapunov_RondeDesFant.mid;7;;;;;;;;xxxxx
Romanticism_Romantic-Nationalism_Moszkowski_gp_ffl.mid;16;1 2 3 4;10 16;;;;HUNGARIAN DANCE;;OK
Romanticism_Romantic-Nationalism_Tchaikovsky_waltzofflowers.mid;16;7 12;16;;;;;;OK
Romanticism_Romanticism_Alkan_ALK39N10.mid;7;4;;;;;;;xxxxx
Romanticism_Romanticism_Beethoven_2ndSymph_Symphony_num_2_MVT_1Beethoven.mid;15;1;7;;;;Ludwig van Beethoven:;Peter;xxxxx
Romanticism_Romanticism_Beethoven_5thSymph_BEET5M4.mid;23;1 2 3 4 5;10 17 23;;;;Piccolo;Double Basses;OK
Romanticism_Romanticism_Beethoven_8thSymph_SYM8-4.mid;4;1;4;;;;;;OK
Romanticism_Romanticism_Beethoven_bee.mid;10;1;;;;;;;xxxxx
Romanticism_Romanticism_Beethoven_MIN-G.mid;4;1;;;;;              ;;xxxxx
Romanticism_Romanticism_Beethoven_symphony9m1.mid;15;3;15;;;;2 Flﾚten;Kontrabﾊsse;xxxxx
Romanticism_Romanticism_Bizet_570thetop.mid;9;;2;1;;;ACCOUSTICAL PIANO   ;;OK
Romanticism_Romanticism_Brahms_lullaby.mid;7;6;;;;;B Flutes            ;;OK
Romanticism_Romanticism_Chopin_817revetude.mid;10;;;1;2;;REVOLUTIONARY ETUDE;FREDERICK CHOPIN;OK
Romanticism_Romanticism_Chopin_chop30m2.mid;4;1;;;;;Piano;;xxxxx
Romanticism_Romanticism_Chopin_op_67_04.mid;2;;;1;2;;;;OK
Romanticism_Romanticism_Chopin_prelude03.mid;4;;;2;3;;Piano;Piano;OK
Romanticism_Romanticism_Chopin_Trois_Nouvelles_Etudes_No3_in_Db.mid;8;;;1;2;;Right Hand;Left Hand;OK
Romanticism_Romanticism_Gounod_AveVerumGounod.mid;5;1;4;;;;Soprano;Bajo;OK
Romanticism_Romanticism_Gounod_GP_4_FAU.mid;16;1 2 3 12;10 16;;;;4. Variation de Cleopatre;;OK
Romanticism_Romanticism_Liszt_Dance_of_Death.mid;25;1;24;;;;Piccolo;Pizz Basses;xxxxx
Romanticism_Romanticism_Liszt_Totentanz_Parafrasis_sobre_Dies_iraeS126b.mid;27;2;26;;;;Piano D;tuba;xxxxx
Romanticism_Romanticism_Liszt_Valse_Oubliee_No1.mid;10;1;;;;;Valse Oubliee No. 1;;xxxxx
Romanticism_Romanticism_Mendelssohn_Eli28.mid;4;1;3;;;;;;OK
Romanticism_Romanticism_Rossini_rossini.mid;16;1 2 3 4 13;16;;;;piccolo;contrabass;OK
Romanticism_Romanticism_Schubert_First_Waltz_No.1.mid;9;1;;;;;;;xxxxx
Romanticism_Romanticism_Schumann_Waldszenen_Op.82_no2.mid;6;1;;;;; Midifile ; Midifile ;OK
XXCentury_Expressionism_Webern_web6po_6.mid;10;9;4;;;;;;xxxxx
XXCentury_Impressionism_Debussy_0_pr1no2.mid;11;2 3;10 11;;;;flute;C.B.;OK
XXCentury_Impressionism_Debussy_debussy-lafille.mid;3;1;;;;;La fille aux chevaux de lin;;OK
XXCentury_Impressionism_Ravel_ravel-gaspard_nuit_ondine_1.mid;5;1;;;;;;;xxxxx
XXCentury_Misc_Britten_fantasia_contrpuntistica_piano.mid;12;1;6;;;;No. 01 Treble;No. 03 Bass;xxxxx
XXCentury_Neoclassicism_Prokofiev_piano_sonata_no3_o28.mid;2;2;;;;;Piano;;xxxxx
XXCentury_XX-Nationalism_Albeniz_1156bermeja.mid;6;4;;;;;Acoustic Guitar;;xxxxx
XXCentury_XX-Nationalism_Albeniz_leyenda.mid;2;1;;;;;Gitarre;;OK
XXCentury_XX-Nationalism_Villalobos_196.mid;16; ; ;1;2;;acentos;Piano;OK
