"Nombre_fichero";"N_Pistas";"melody";"bass";"piano_rh";"piano_lh";"mixdown";;;;
"Abba_Tiger.kar";13;;4;;;;"Bass";"OK";;
"Abba_Voulez_vous.kar";14;;6;;;;"Bass";"OK";;
"Abba_Why_did_it_have_to_be_me.kar";17;;3;;;;"Piano3";"OK-M";;
"Abbronzatissima_Edoardo_Vianello.kar";18;;4;;;;"ACUSTIC BA";"OK";;
"Abigail_Gitano_4.kar";14;;4;;;;"Copyright Kantamania";"OK";;
"Abigail_Oro_y_plata.kar";15;;2;;;;;"OK";;
"Acdc_Highway_to_hell.kar";12;;5;;;;"Bass";"OK";;
"Ace_of_base_All_that_she_wants.kar";26;;5;;;;"Bass";"OK";;
"Ace_of_base_Dont_turn_around.kar";16;;5;;;;"Bass";"OK";;
"Ace_of_base_Dont_turn_around_4.kar";16;;5;;;;"Bass";"OK";;
"Ace_of_base_The_sign.kar";28;;6;;;;"Bass";"OK";;
"Ace_of_base_The_sign_1.kar";28;;6;;;;"Bass";"OK";;
"Ade_Gagnon_Danser_pour_oublier.kar";9;;2;;;;"EL BASS FINGER";"OK";;
"Adios_pampa_mia.kar.kar";13;;3;;;;"tk2";"OK";;
"Aerosmith_Janies_Got_A_Gun.kar";24;;"12 13";;;;"slap bass";"OK-M";;
"Aerosmith_Janies_got_a_gun_3.kar";24;;"12 13";;;;"slap bass";"OK-M";;
"Aftrlove.kar";16;;6;;;;"Bass";"OK";;
"Aja.kar";13;;9;;;;"Bass";"OK";;
"AlTgria_Rodrigo_BAY.kar.kar";15;;2;;;;;"OK";;
"Aladin_Le_Reve_bleu.kar";8;;7;;;;"Bass";"OK";;
"Alain_Barriere_A_regarder_la_mer.kar";10;;2;;;;"Basse2";"OK";;
"Alain_Barriere_Ma_vie.kar";13;;4;;;;"Basse  2";"OK";;
"Alain_Baschung_La_nuit_je_mens.kar";13;;4;;;;"basse";"OK";;
"Alain_Baschung_Vertige_de_lamour.kar";15;;5;;;;"Basse";"OK";;
"Alain_Boublil_And_Herbert_Kretzmer_On_My_Own.kar";14;;;;;;"Timpani";"OK-M";;
"Alain_Chamfort_Manureva.kar";18;;5;;;;"Basse";"OK";;
"Alain_Morisod_Sweet_People_Les_trois_cloches.kar";19;;"7 18";;;;"bass";"OK-M";;
"Alain_Souchon_Au_ras_des_paquerettes.kar";16;;4;;;;"Basse";"OK";;
"Alain_Souchon_Foule_sentimentale.kar";10;;10;;;;"Basse  2";"OK";;
"Alain_Souchon_Lamour_a_la_machine.kar";10;;3;;;;"Basse  2";"OK";;
"Alain_Souchon_Le_baiser.kar";10;;3;;;;"Basse";"OK";;
"Alain_Souchon_Sous_les_jupes_des_filles.kar";17;;4;;;;"Basse  2";"OK";;
"Alain_Souchon_Ya_de_la_rumba_dans_lair.kar";17;;8;;;;" Basse  ";"OK";;
"Alan_Jackson_Home.kar";14;;4;;;;"BASS";"OK";;
"Alan_Jackson_Livin_on_love.kar";11;;10;;;;"Bass";"OK";;
"Alan_Jackson_Pop_a_top_again.kar";12;;8;;;;;"OK";;
"Alan_Jackson_Summer_time_blues.kar";22;;"5 6";;;;"BASS A.1";"OK-M";;
"Alan_Jackson_Tall_tall_trees.kar";11;;3;;;;;"OK";;
"Alan_Parsons_Project_Dont_answer_me.kar";22;;3;;;;"Bass  ";"OK";;
"Alan_Parsons_Project_The_cask_of_amontillado.kar";16;;9;;;;"ContraBass";"OK";;
"Alan_Parsons_Project_The_tell_tale_heart.kar";15;;7;;;;"SynBass";"OK";;
"Alan_Tam_Elaine.kar";14;;10;;;;"Acoustic Bass";"OK";;
"Alan_Theo_Lola.kar";14;;2;;;;"Clav";"OK-M";;
"Alanis_Morissette_Ironic.kar";11;;5;;;;"Bass";"OK";;
"Alanis_Morissette_Ironic_4.kar";11;;5;;;;"Bass";"OK";;
"Alanis_Morissette_You_oughta_know.kar";10;;6;;;;"Bass";"OK";;
"Alazan_Amarrao_a_mi_cintura.kar";14;;4;;;;"Bass";"OK";;
"Alazan_Amarrao_a_mi_cintura4.kar";14;;4;;;;"Bass";"OK";;
"Alazan_Torero.kar";15;;4;;;;"bajo";"OK";;
"Albano_Felicidad.kar";12;;3;;;;"Bass    ";"OK";;
"Albano_y_Romina_Felicidad_4.kar";12;;3;;;;"Bass    ";"OK";;
"Albert_Babin_Je_dis_des_mots_damour.kar";18;;1;;;;"BASS";"OK";;
"Albert_Babin_Le_toit_de_ma_maison.kar";8;;2;;;;"bass    ";"OK";;
"Albert_Babin_Ma_hache_pis_le_bucksaw.kar";9;;"1 7 8";;;;"BASS";"OK-M";;
"Albert_Hammond_It_Never_Rains_In_Southern_Californa.kar";11;;4;;;;;"OK";;
"Albert_Hammond_It_never_rains_in_southern_California.kar";11;;4;;;;;"OK";;
"Alberto_Domfnguez_Frenesf.kar";13;;4;;;;"FingBass";"OK";;
"Aldo_Gunthrie_City_of_New_Orleans.kar";15;;8;;;;"Bas      ";"OK";;
"Alejandro_Sanz_Me_ire.kar";15;;5;;;;"bajo";"OK";;
"Alejandro_Sanz_Quisiera_ser_4.kar";18;;4;;;;"Bass";"OK";;
"Ali_Baba_Tu_me_manques_depuis_longtemps.kar";15;;3;;;;"CordesBas2";"OK";;
"All_Four_One_I_swear.kar";19;;3;;;;"Bass";"OK";;
"All_for_one_I_swear_4.kar";19;;3;;;;"Bass";"OK";;
"Alliage_Cruel_Summer.kar";16;;4;;;;"Basse";"OK";;
"Alliage_Lucy.kar";13;;2;;;;"Basse";"OK";;
"Alliage_Te_garder_pres_de_moi.kar";15;;4;;;;"Basse";"OK";;
"Allman_Brothers_Midnight_rider.kar";8;;4;;;;"Bass                ";"OK";;
"Allman_Brothers_Stormy_Monday.kar";8;;3;;;;"Fretless bass";"OK";;
"Allwright_Graeme_Suzanne.kar";4;;;;;;"Guitar";"OK-M";;
"Alma_Cogan_Tennesse_waltz.kar";8;;3;;;;"BASS";"OK";;
"Almeno_tu_nelluniverso_Mia_Martini.kar";19;;3;;;;"BASS";"OK";;
"Amanda_Marshall_Beautiful_goodbye.kar";13;;7;;;;"bas";"OK";;
"Amanda_McBroom_The_Rose.kar";10;;9;;;;"Bassline";"OK";;
"America_Sandman.kar";18;;3;;;;"SAND MAN            ";"OK";;
"America_Tinman.kar";28;;8;;;;"bass                ";"OK";"Revisar";"*"
"America_Ventura_highway.kar";14;;3;;;;"Bass    (BB)";"OK";;
"Amparo_Sandino_Mar_De_Amores.kar";12;;4;;;;"bajo";"OK";;
"Amy_Grant_Baby_baby.kar";6;;4;;;;"Bass                ";"OK";;
"AnaBelenDesde_mi_libertad.kar";11;;5;;;;"bajo";"OK";;
"Ana_Belen_Desde_mi_libertad_5.kar";11;;5;;;;"bajo";"OK";;
"Andre_Breton_Un_jour_a_la_fois.kar";22;;"12 22";;;;"FRETLESS.BASS.      ";"OK-M";;
"Andre_Clavier_As_tu_deja_pleurer.kar";12;;4;;;;"Electric Bass (Finger)";"OK";;
"Andre_Lejeune_Joue_moi_un_rigodon.kar";11;;"1 11";;;;"Basse   ACOUSTIC            ";"OK-M";;
"Andre_Verchuren_Ah_si_jetais_reste_celibataire.kar";6;;1;;;;"Soft karaoke";"OK";;
"Andrew_Lloyd_Webber_Phantom_of_the_Opera.kar";5;;5;;;;"Left Hand";"OK";;
"Andy_Williams_Walk_on_by.kar";12;;3;;;;"Bass    ";"OK";;
"Angelo_Branduardi_La_demoiselle.kar";12;;3;;;;"Bass    ";"OK";;
"Angelo_Branduardi_Va_ou_le_vent_te_mene.kar";11;;5;;;;"basse";"OK";;
"Anggun_Au_nom_de_la_lune.kar";11;;2;;;;"Basse";"OK";;
"Anggun_La_neige_au_Sahara.kar";16;;4;;;;"Basse";"OK";;
"Anggun_La_rose_des_vents.kar";16;;2;;;;"SynBass1";"OK";;
"Animals_House_of_the_rising_sun_blues.kar";19;;5;;;;"Accoustic Bass";"OK";;
"Animals_Sky_pilot.kar";13;;7;;;;"Bass";"OK";;
"Anita_Mui_The_sunset_song.kar";14;;5;;;;"Acoustic Bass";"OK";;
"Anne_Mauray_Broken_heartache_me.kar";14;;8;;;;;"OK";;
"Anne_Mauray_Could_i_have_this_dance.kar";14;;5;;;;"Bass    (BB)";"OK";;
"Anne_Mauray_Nobody_loves_me_like_you_do.kar";12;;6;;;;;"OK";;
"Anne_Mauray_Shadows_in_the_moonlight.kar";12;;8;;;;;"OK";;
"Anne_Mauray_You_needed_me.kar";12;;6;;;;"bass                ";"OK";;
"Annie_I_Think_Im_Gonna_Like_It_Here.kar";14;;4;;;;"Bass                                                            ";"OK";;
"Annie_Without_A_Smile.kar";21;;4;;;;"Bassline                                                        ";"OK";;
"Antoine_Les_Elucubrations.kar";9;;3;;;;"BASSE";"OK";;
"Antonio_Flores_Alba_4.kar";12;;4;;;;"FRETLESS";"OK";;
"Aqua_Dr_Jones.kar";16;;"8 11";;;;"GunShots-";"OK-M";;
"Aqua_Roses_are_red_1.kar";17;;6;;;;"Bass";"OK";;
"Archies_Sugar_sugar.kar";11;;4;;;;;"OK";;
"Art_Popular_Temporal.kar";16;;4;;;;"bass";"OK";;
"Artistes_New_York_New_York.kar";12;;4;;;;"Bass";"OK";;
"Ashford_Simpson_Aint_No_Mountain_High_Enough.kar";11;;3;;;;"Bass";"OK";;
"Atlantique_Les_eaux_de_Mars.kar";11;;3;;;;"Contrebasse";"OK";;
"Aubrey.kar";9;;4;;;;"Bass";"OK";;
"Axelle_Red_A_quoi_ca_sert.kar";9;;2;;;;"Basse";"OK";;
"Axelle_Red_Le_monde_tourne_mal.kar";14;;5;;;;"Basse";"OK";;
"Axelle_Red_Parce_que_cest_toi.kar";12;;4;;;;"Basse";"OK";;
"Axelle_Red_Rester_femme.kar";11;;2;;;;"Basse";"OK";;
"Axelle_Red_Rien_que_dy_penser.kar";11;;4;;;;"Ac.Bass";"OK";;
"BIG_MOUNTAIN_Baby_I_Love_Your_Way.kar";17;;5;;;;"Bass";"OK";;
"BJ_Thomas_Raindrops_keep_fallin_on_my_head.kar";13;;5;;;;"BASS";"OK";;
"BSO_Cheers_Where_everybody_knows_your_name.kar";18;;11;;;;"Bass #1 | Sequenced by";"OK";;
"BSO_Jesucristo_superstar_I_dont_know_how_to_love_him_3.kar";11;;3;;;;"Bass    (BB)";"OK";;
"B_Wayne_l_Morris_Blue_velvet.kar";9;;3;;;;"Bass";"OK";;
"Babacar.kar";15;;"5 12";;;;"Slapbass1";"OK-M";;
"Bachman_Turner_Overdrive_You_aint_seen_nothing_yet.kar";12;;4;;;;;"OK";;
"Bad_Boy_Blues_You_are_a_woman.kar";18;;5;;;;"Bass";"OK";;
"Bad_Company_Bad_company.kar";21;;"5 14";;;;"Bass";"OK-M";;
"Bad_Finger_Come_and_get_it.kar";11;;3;;;;"BASS";"OK";;
"Bananarama_Venus.kar";13;;4;;;;"Bass";"OK";;
"Banda_Eva_Carro_velho.kar";15;;4;;;;"M #2";"OK";;
"Bangles_Eternal_flame.kar";12;;8;;;;"Bass";"OK";;
"Bangles_Eternal_flame_4.kar";12;;8;;;;"Bass";"OK";;
"Barbara_Steisand_Evergreen.kar";9;;8;;;;"Bass";"OK";;
"Barricada_Oveja_negra_16.kar";13;;3;;;;"Bass";"OK";;
"Be_Gees_I_started_the_joke_9.kar";12;;6;;;;"Bass                ";"OK";;
"Be_Gees_If_I_cant_have_you_6.kar";10;;3;;;;"BASS";"OK";;
"Be_Gees_Massachusetts_9.kar";12;;6;;;;"Bass                ";"OK";;
"Be_Gees_Staying_Alive_4.kar";12;;6;;;;"Bass";"OK";;
"Be_Gees_Tragedy_4.kar";14;;4;;;;"BASS";"OK";;
"Beach_Boys_Help_me_ronda.kar";14;;4;;;;"Bass";"OK";;
"Beach_Boys_Surfer_girl.kar";19;;5;;;;"guitar harmonics  ";"OK-M";;
"Beach_Boys_Surfnusa.kar";6;;5;;;;"Bass                ";"OK";;
"Beach_Boys_Wouldnt_it_be_nice.kar";15;;"7 8";;;;"Bass";"OK-M";;
"Beastie_Boys_Fight_for_your_right_to_party.kar";7;;6;;;;"Bass";"OK";;
"Beat_Culture_Crying_in_the_rain.kar";12;;9;;;;"BASS                ";"OK";;
"Beatles_Bad_boy.kar";10;;7;;;;"Bass";"OK";;
"Beatles_Ballad_of_John_and_yoko.kar";10;;7;;;;"Bass";"OK";;
"Beatles_Beautiful_Night.kar";17;;5;;;;"Bass";"OK";;
"Beatles_Bogey_Music.kar";17;;5;;;;"Bass";"OK";;
"Beatles_Everybodys_got_something_to_hide.kar";10;;6;;;;"Bass";"OK";;
"Beatles_Free_As_A_Bird.kar";9;;8;;;;"Finger Bass2";"OK";;
"Beatles_Glad_all_over.kar";14;;3;;;;"BASS";"OK";;
"Beatles_Happiness_is_a_warm_gun.kar";13;;7;;;;"bass";"OK";;
"Beatles_Hello_goodbye.kar";13;;8;;;;"Bass";"OK";;
"Beatles_Here_comes_the_sun.kar";12;;7;;;;"Acc Bass";"OK";;
"Beatles_Hey_Jude.kar";9;;5;;;;"BASS";"OK";;
"Beatles_I_saw_her_standing_there.kar";12;;6;;;;"Bass                ";"OK";;
"Beatles_I_wanna_be_your_man.kar";14;;5;;;;"Bass";"OK";;
"Beatles_Isolation.kar";16;;5;;;;"Bass";"OK";;
"Bee_Gees_Staying_alive.kar";12;;6;;;;"Bass";"OK";;
"Bee_Gees_To_love_somebody_4_y_15.kar";14;;3;;;;"Bass";"OK";;
"Big_Mountain_Baby_I_love_your_way_4.kar";17;;5;;;;"Bass";"OK";;
"Billy_Joel_Honesty_1.kar";8;;5;;;;"Staff 3";"OK";;
"Bob_Seger_Hollywood_night.kar";18;;3;;;;"HOLLYWOOD NIGHTS    ";"OK";;
"Bob_Seger_Turn_the_Page.kar";15;;4;;;;"Bass";"OK";;
"Boney_M_Daddy_Cool.kar";10;;9;;;;"Bass";"OK";;
"Boney_M_Dreadlock_Holiday.kar";13;;5;;;;"bass    ";"OK";;
"Boney_M_Hold_on_Im_coming.kar";19;;5;;;;"Bass";"OK";;
"Boney_M_Sunny.kar";11;;10;;;;"Bass";"OK";;
"Bonny_M_Rivers_of_Babylon_4.kar";14;;10;;;;"Bass";"OK";;
"Boogwond.kar";17;;4;;;;"Bass";"OK";;
"Boris_Vian_Le_deserteur.kar";14;;4;;;;"basse";"OK";;
"Boston_A_man_Ill_never_be.kar";20;;5;;;;"Bass";"OK";;
"Boston_A_man_Ill_never_be_12.kar";20;;5;;;;"Bass";"OK";;
"Britney_Spears_Baby_one_more_time_1.kar";35;;"15 16";;;;"Slap Bass";"OK-M";;
"Brividi.kar";11;;3;;;;"Bass    ";"OK";;
"Brooks_And_Dunn_Boot_scootin_boogie.kar";11;;10;;;;"BASS";"OK";;
"Brooks_And_Dunn_Whiskey_under_the_bridge.kar";29;;"7 15";;;;"BASS";"OK-M";;
"Bruce_Springsteen_Human_Touch_4.kar";16;;3;;;;"Bass";"OK";;
"Bruce_Springsteen_Streets_of_Philadelphia_1.kar";9;;5;;;;"Bas";"OK";;
"Bruno_Lomas_La_casa_del_sol_naciente.kar";24;;3;;;;"bass                ";"OK";;
"Bryan_Adams_Have_you_ever_really_loved_a_woman_4.kar";14;;4;;;;"Bass";"OK";;
"Bryan_Adams_Heaven_4.kar";17;;9;;;;"Fretless Bass";"OK";;
"Byrds_Eight_miles_high.kar";16;;3;;;;"BASS";"OK";;
"Byrds_Turn_turn_turn.kar";17;;3;;;;"BASS";"OK";;
"COCK_ROBIN_The_Promise_You_Made_from_the_album_Cock_Robin_1985.kar";21;;6;;;;"bass guitar";"OK";;
"C_And_C_Music_Factory_Gonna_Make_You_Sweat.kar";17;;"5 17";;;;"Elec Bass";"OK";;
"C_Jerome_Derniers_baisers.kar";10;;4;;;;"Bass                ";"OK";;
"C_Jerome_Jerome_cest_moi.kar";14;;4;;;;;"OK";;
"C_Jerome_Kiss_me.kar";13;;6;;;;"Basse    ";"OK";;
"Calling_Wherever_You_Will_Go.kar";9;;8;;;;"Bass";"OK";;
"Canario.kar";11;;4;;;;"Bss34";"OK";;
"Canned_Heat_Going_Up_the_Country.kar";9;;4;;;;"Bass";"OK";;
"Cantores_de_Hfspalis_A_bailar_16.kar";11;;3;;;;"Fretless";"OK";;
"Cantores_de_Hispalis_A_Bailar.kar";11;;3;;;;"Fretless";"OK";;
"Captain_And_Tenille_Do_That_To_Me_One_More_Time.kar";12;;6;;;;"Bass                ";"OK";;
"Carlos_Baute_Mi_medicina_4.kar";14;;4;;;;"Bass";"OK";;
"Carlos_Baute_Mueve_mueve_4.kar";15;;4;;;;" Fretless";"OK";;
"Carlos_Big_bisou.kar";16;;5;;;;"basse";"OK";;
"Carlos_Papayou.kar";9;;2;;;;"el bass finger";"OK";;
"Carlos_Vives_El_Amor_de_mi_Tierra.kar";13;;2;;;;" Fretless Bs.";"OK";;
"Carly_Simon_All_I_Want_is_You.kar";16;;4;;;;"Bass";"OK";;
"Carly_Simon_Coming_Around_Again.kar";18;;4;;;;"Bass";"OK";;
"Carly_Simon_Give_me_all_Night.kar";15;;4;;;;"Bass";"OK";;
"Carly_Simon_It_Happens_Every_Day.kar";14;;7;;;;"Bass";"OK";;
"Carnavalera_Havana_Delirio.kar.kar";10;;2;;;;;"OK";;
"Carol_Ann_King_Cowgirl_de_ville.kar";18;;"11 12";;;;"FINGER BASS";"OK";;
"Carpenters_Top_of_the_World2.kar";11;;4;;;;"Bass";"OK";;
"Carre_Blanc_Nous_cest_nous.kar";12;;2;;;;"Basse";"OK";;
"Cars_Drive.kar";4;;;;;4;;"OK-M";;
"Cars_Just_What_I_Needed.kar";11;;"8 9";;;;"Mute Guitar";"OK-M";;
"Cars_Lets_Go.kar";13;;10;;;;"Bass";"OK";;
"Cat_Stevens_The_first_cut_is_the_deepest.kar";12;;4;;;;"BASS";"OK";;
"Ce_soir_on_danse_Cocktail_Night_Life.kar";23;;16;;;;"bass 1              ";"OK";;
"Ce_soir_on_danse_Cocktail_Surprise.kar";29;;5;;;;"basse               ";"OK";;
"Celine_Dion_Je_danse_dans_ma_tete.kar";12;;4;;;;;"OK";;
"Celine_Dion_Les_derniers_seront_les_premiers.kar";15;;4;;;;"Basse";"OK";;
"Celine_Dion_Pour_que_tu_maimes_encore.kar";16;;4;;;;"Basse";"OK";;
"Celine_Dion_When_I_need_you.kar";17;;3;;;;"ACT.BASS            ";"OK";;
"Celtas_Cortos_Veinte_de_abril_16.kar";16;;4;;;;"Bass";"OK";;
"Celtas_Cortos_por_Stapelton_VEINTE_DE_ABRIL.kar";16;;4;;;;"Bass";"OK";;
"Cenizas_6.Wello_Rivas.kar";12;;4;;;;"Bajo";"OK";;
"Cesar_et_Les_Romains_Delilah.kar";17;;4;;;;"bass    ";"OK";;
"Chaitu_Shaipaki_Lion_Sleeps_Tonight.kar";8;;5;;;;"first bass";"OK";;
"Champs.kar";11;;4;;;;;"OK";;
"Charlelie_Couture_Comme_un_avion_sans_ailes.kar";11;;4;;;;"Basse  2";"OK";;
"Charles_Aznavour_Camarade.kar";11;;10;;;;;"OK";;
"Charles_Aznavour_Comme_ils_disent.kar";9;;4;;;;"Basse  2";"OK";;
"Charles_Aznavour_Dans_tes_bras.kar";4;;3;;;;"Staff-3";"OK";;
"Charles_Aznavour_Emmenez_moi.kar";15;;5;;;;"Basse   ";"OK";;
"Charles_Aznavour_Esperanza.kar";18;;7;;;;;"OK";;
"Charles_Aznavour_Je_mvoyais_deja.kar";17;;5;;;;"Basse Ac 2";"OK";;
"Charles_Aznavour_La_boheme.kar";17;;5;;;;"Basse Ac2";"OK";;
"Charles_Aznavour_Lamour_cest_comme_un_jour.kar";13;;3;;;;;"OK";;
"Charles_Aznavour_Nous_irons_a_Verone.kar";9;;4;;;;;"OK";;
"Charles_Aznavour_Parlez_moi_damour.kar";9;;;;;;"Strings de bain";"OK-M";;
"Charles_Aznavour_Plus_bleu_que_le_bleu_de_tes_yeux.kar";13;;4;;;;"AcBass";"OK";;
"Charles_Aznavour_Reste.kar";10;;4;;;;;"OK";;
"Charles_Aznavour_Tu_te_laisses_aller.kar";17;;4;;;;"Basse Ac 2";"OK";;
"Charles_Trenet_Je_chante.kar";16;;4;;;;"BASSE";"OK";;
"Charles_Trenet_La_mer.kar";17;;5;;;;"Basse ac2";"OK";;
"Charles_Trenet_La_romance_de_Paris.kar";11;;3;;;;"Basse  2";"OK";;
"Charles_Trenet_Le_jardin_extraordinaire.kar";24;;21;;;;;"OK";;
"Charles_Trenet_Moi_jaime_le_Music_Hall.kar";13;;5;;;;;"OK";;
"Charles_Trenet_Route_nationale_7.kar";13;;4;;;;"Acoustic bass";"OK";;
"Che_sara_Jimmi_Fontana.kar";18;;4;;;;"BASSO";"OK";;
"Cher_Sonny_The_beat_goes_on.kar";11;;4;;;;;"OK";;
"Chic_Le_Freak.kar";13;;7;;;;"Bass";"OK";;
"Chicago_After_The_Love_Has_Gone.kar";16;;6;;;;"Bass";"OK";;
"Chicago_If_You_Leave_Me_Now.kar";11;;5;;;;"Bass";"OK";;
"Chicago_If_you_leave_me_now_1.kar";11;;5;;;;"Bass";"OK";;
"Chicago_Only_The_Beginning.kar";26;;3;;;;"BASS    ";"OK";;
"Chip_Taylor_Wild_Thing.kar";8;;5;;;;"Bass";"OK";;
"Chris_Deburg_Lady_in_Red.kar";13;;4;;;;"bass    ";"OK";;
"Chris_Deburg_Lady_in_Red_1.kar";10;;4;;;;"Bass";"OK";;
"Christina_Aguilera_Genio_atrapado_4.kar";12;;4;;;;"A World Wide Sequencing-Team Production";"OK";;
"Christophe_Main_dans_la_main.kar";9;;2;;;;"Basse 2";"OK";;
"Chuck_Berry_Johnny_be_good_4.kar";9;;5;;;;"Bass";"OK";;
"Chuck_Berry_Rock_and_roll_music.kar";14;;"5 7";;;;"Piano - Bass";"OK-M";;
"Cie_Creole_Ba_moin_ti_bo.kar";10;;3;;;;"Basse  2";"OK";;
"Cie_Creole_Ma_premiere_beguine_partie.kar";11;;4;;;;"Basse   2";"OK";;
"Claude_Dubois_Femmes_ou_filles.kar";14;;4;;;;"BASS                ";"OK";;
"Claude_Francois_Cest_la_meme_chanson.kar";12;;4;;;;"SynBass2";"OK";;
"Claude_Francois_Cette_annee_la.kar";12;;4;;;;"Basse  2";"OK";;
"Claude_Francois_Il_fait_beau_il_fait_bon.kar";9;;1;;;;"Basse 2";"OK";;
"Claude_Francois_Je_viens_diner_ce_soir.kar";13;;4;;;;"el bass finger";"OK";;
"Claude_Francois_La_ferme_du_bonheur.kar";9;;4;;;;"Basse    2";"OK";;
"Claude_Francois_Le_telephone_pleure.kar";17;;5;;;;"Basse    2";"OK";;
"Claude_Francois_Magnolias_forever.kar";14;;4;;;;"Basse  2";"OK";;
"Claude_Francois_Mais_quand_le_matin.kar";9;;1;;;;"Basse2";"OK";;
"Claude_Francois_Meme_si_tu_revenais.kar";18;;4;;;;"Basse  2";"OK";;
"Claude_Francois_Si_javais_un_marteau.kar";9;;3;;;;"Basse  2 ";"OK";;
"Claude_Francois_Une_chanson_populaire.kar";11;;5;;;;"Basse";"OK";;
"Claude_Michel_Le_premier_pas.kar";10;;4;;;;"BASS GTR";"OK";;
"Claude_Nougaro_Armstrong.kar";10;;3;;;;"Basse  2";"OK";;
"Claude_Valade_Aide_moi_a_passer_la_nuit.kar";11;;5;;;;"Bass           ";"OK";;
"Claude_Valade_Au_bout_du_monde_avec_toi.kar";14;;7;;;;"Bass";"OK";;
"Cliff_Friend_and_Irving_Mills_Lovesick_Blues.kar";9;;5;;;;"Bass";"OK";;
"Cliff_Richard_We_Dont_Talk_Anymore.kar";13;;3;;;;"Bass";"OK";;
"Cloclo_Belle_belle_belle.kar";14;;"5 9";;;;"BasseAc2";"OK-M";;
"Cloclo_Cette_annee_la.kar";12;;4;;;;"Basse  2";"OK";;
"Cloclo_La_ferme_du_bonheur.kar";9;;4;;;;"Basse    2";"OK";;
"Cloclo_Le_telephone_pleure.kar";17;;5;;;;"Basse    2";"OK";;
"Cloclo_Magnolias_Forever.kar";14;;4;;;;"Basse  2";"OK";;
"Cloclo_Si_javais_un_marteau.kar";9;;3;;;;"Basse  2 ";"OK";;
"Cloclo_Une_chanson_populaire.kar";11;;5;;;;"Basse";"OK";;
"Cock_Robin_The_Promise_You_Made.kar";21;;6;;;;"bass guitar";"OK";;
"Coldplay_Trouble.kar";9;;4;;;;"FingrdBass";"OK";;
"Cole_Porter_I_Get_A_Kick_Out_Of_You.kar";11;;5;;;;"Bass";"OK";;
"Cole_Porter_What_Is_This_Thing_Called_Love.kar";17;;5;;;;"Bass";"OK";;
"Collin_Raye_Little_Rock.kar";16;;4;;;;"bass";"OK";;
"Communards_Never_can_say_goodbye_1.kar";10;;4;;;;"bass    ";"OK";;
"Compagnie_Creole_Ca_fait_rire_les_oiseaux.kar";12;;5;;;;"Basse   2";"OK";;
