Nombre_fichero;N_Pistas;melody;bass;piano_rh;piano_lh;mixdown;
Renaissance_Renaissance-Late_Victoria_Misa_Quarti_Toni-3-Credo-b.mid;4;2;5;;;;
Renaissance_Renaissance-Late_Victoria_Nisi_Dominus-2b.mid;8;2 6;4 9;;;;
Renaissance_Renaissance-Late_Victoria_O_Decus_Apostolicum.mid;4;2;5;;;;
Renaissance_Renaissance-Late_Victoria_O_Quam_Gloriosum-3-Credo-b.mid;4;2;5;;;;
Renaissance_Renaissance-Late_Victoria_OD-01-Taedet_Animam_Meam-s.mid;4;2;5;;;;
Renaissance_Renaissance-Late_Victoria_OD-05-Offertorium-b.mid;6;2 3;6 7;;;;
Renaissance_Renaissance-Late_Victoria_Quam_Pulchri_Sunt-3-Credo-t.mid;4;2;5;;;;
Renaissance_Renaissance-Late_Victoria_Rex_Gloriose_Martyrum-t.mid;4;2;5;;;;
Renaissance_Renaissance-Late_Victoria_Salve-1-Kyrie.mid;8;NO;;;;;
Renaissance_Renaissance-Late_Victoria_TR03-Unus_Ex_Discipulis-s.mid;4;NO;;;;;
Renaissance_Renaissance-Late_Victoria_TR06-Seniores_Populi-s.mid;4;2;5;;;;
Renaissance_Renaissance-Late_Victoria_Vexilla_Regis-b.mid;4;2;5;;;;
Renaissance_Renaissance-Late_Victoria_Victimae_Paschale-2s.mid;8;3 5;9;;;;
Renaissance_Renaissance-Middle_Cavalli_cavalli-lormindo_mai_voli.mid;6;4;6 7;;;;
Renaissance_Renaissance-Middle_HenryVIII_henryviii_helas_madame.mid;10;NO;;;;;
Renaissance_Renaissance-Middle_Newsidler_newsidler-melodia_exotique.mid;2;NO;;;;;
Romanticism_Post-romanticism_Scriabin_SCRSYM31.mid;23;?????;;;;;
Romanticism_Romantic-Nationalism_Breton_Breton_EscenasAndaluzas-2.mid;19;4 5;11 15;;;;
Romanticism_Romantic-Nationalism_Grieg_lyricpiece-littlebirdop43-4.mid;7;;1 3 5;2 4 6;;;
Romanticism_Romantic-Nationalism_Mussorgsky_pictures-promenade.mid;9;1 4;7;;;;
Romanticism_Romantic-Nationalism_Rimsky_Korsakov_coqdor_finale.mid;30;?????;;;;;
Romanticism_Romantic-Nationalism_Tchaikovsky_Tchaikovsky-Nutcracker-ChineseDance.mid;9;;;1;2;;
Romanticism_Romantic-Nationalism_Tchaikovsky_Tchaikovsky-Nutcracker-DanceOfTheReedFlutes.mid;11;;;1;2;;
Romanticism_Romanticism_Beethoven_2323andantereg.mid;2;;;2;3;;
Romanticism_Romanticism_Beethoven_5thsymp.mid;13;3 4 9;11;;;;
Romanticism_Romanticism_Carulli_843guitar.mid;5;2 4;3 5;;;;
Romanticism_Romanticism_Chopin_Etude_Op10_No11_in_Eb.mid;5;NO;;;;2;
Romanticism_Romanticism_Chopin_FREUDEN.mid;4;NO;;;;1;
Romanticism_Romanticism_Chopin_op25no1.mid;2;NO;;;;2 3;
Romanticism_Romanticism_Chopin_sonata_Bbm_Op35_No2_3.Marche_funebre.mid;3;;;2;3;;
Romanticism_Romanticism_Chopin_Variations_on_a_Theme_from_Herolds_Ludovic_Op12.mid;4;;;2;5;;
Romanticism_Romanticism_Sarasate_Sarasate_Zapateado.mid;17;2 3 14;6 18;;;;
Romanticism_Romanticism_Schubert_Piano_Sonata_in_Bb_D.960_No.21_4.Allegro_ma_non_troppo.mid;4;?????;;2;4;;
Romanticism_Romanticism_Schubert_Var_on_Anselm_Huttenbrenner_in_Am_D.576.4.mid;2;;;2;3;;
Romanticism_Romanticism_Schumann_811scn15_5.mid;6;;;2;3;;
Romanticism_Romanticism_Schumann_Fantasy_for_Clarinet_and_Piano_Op.73_no3.mid;4;2;;;;1;
Romanticism_Romanticism_Schumann_Short_Piano_In_a_Gondola.mid;8;;;3;4;;
Romanticism_Romanticism_Strauss_Johann_fledermausquadrille.mid;4;;;2 3;1 4;;
Romanticism_Romanticism_Strauss_Johann_straussj_viennalife.mid;8;7;;;;;
Romanticism_Romanticism_Wolf_wolf_1_aufblick.mid;4;NO;;;;;
XXCentury_Impressionism_Debussy_012_debima-1.mid;7;?????;;;;;
XXCentury_Impressionism_Debussy_013_debchi02.mid;6;NO;;;;;
XXCentury_Impressionism_Ravel_ravel-valses_nobles_3modere.mid;52;?????;;;;;
XXCentury_Misc_Grainger_irish_tune.mid;9;2;9;;;;
XXCentury_Misc_Grainger_molly.mid;21;1 2 3 4;7 14;;;;
XXCentury_Neoclassicism_Satie_2684gnossinnes5.mid;2;;;1;2;;
XXCentury_XX-Nationalism_Martinu_loutky_kolumbina_tanci.mid;16;NO;;;;1;
XXCentury_XX-Nationalism_Vaughan_Williams_WilliamsV_FantasiaTallis.mid;16;1 2 5 11;10 15;;;;
