Nombre_fichero,N_Pistas,melody,bass,piano_rh,piano_lh,mixdown
Classicism_Classicism_Mozart_A_mozrt3.mid,7,,,6,3,,,
Classicism_Classicism_Mozart_Symphony35-41-012-k543_1.mid,13,1 2 7 8,11,,,,Revisar,
Classicism_Classicism_Mozart_Symphony35-41-012-msy5514.mid,11,1 2 7 8,11,,,,Revisar,
Classicism_Classicism_Mozart_mozart-2.mid,12,1 5 9,4 8 12,,,,OK,
Classicism_Classicism_Mozart_sonata-in-c-1_5.mid,7,,,5 6,7,,,
Classicism_Pre-classicism_Scarlatti_scarlatti_sento_nel_core.mid,3,1,,2,3,,OK,
Medieval_ArsNova_Machau_machaut-b29.mid,4,2,4,,,,OK,
Renaissance_Renaissance-Early_DelEncina_encina-mas_vale_trocar.mid,4,1 3,4,,,,Revisar,
Renaissance_Renaissance-Early_Escobar_escobar_lo_que_queda_es_lo_seguro.mid,9,2 3,4,,,,,
Renaissance_Renaissance-Late_Praetorius_spagnoletta_xxvii.mid,10,2,5,,,,,
Renaissance_Renaissance-Late_Victoria_Ascendens_Christus_In_Altum-1-Kyrie-1s.mid,5,1 2,5,,,,OK,
Renaissance_Renaissance-Late_Victoria_Ave_Regina-2-Gloria.mid,8,1 5,4 8,,,,,
Renaissance_Renaissance-Late_Victoria_Ave_Regina_Caelorum-a_8-2c.mid,8,1 5 6,4 8,,,,Revisar,
Renaissance_Renaissance-Late_Victoria_Benedicta_Sit-b.mid,6,1,6,,,,Revisar,Last
Renaissance_Renaissance-Late_Victoria_Descendit_Angelus-1s.mid,5,1 2,5,,,,Revisar,
Renaissance_Renaissance-Late_Victoria_Dum_Complerentur-6-Agnus_Dei-2s.mid,7,1 2,7,,,,Revisar,
Renaissance_Renaissance-Late_Victoria_Hostis_Herodes_Impie-s.mid,4,1 2,4,,,,Revisar,
Renaissance_Renaissance-Late_Victoria_Laudate_Pueri_Dominum.mid,8,1 2 5,4 8,,,,Revisar,
Renaissance_Renaissance-Late_Victoria_Magnificat_Octavi_Toni-impares-1c.mid,7,1 2 3,7,,,,Revisar,
Renaissance_Renaissance-Late_Victoria_Magnificat_Octavi_Toni-impares-1s.mid,7,1 2,7,,,,Revisar,
Renaissance_Renaissance-Late_Victoria_Misa_Quarti_Toni-3-Credo-b.mid,4,1 2,,,,,Revisar,
Renaissance_Renaissance-Late_Victoria_Nisi_Dominus-2b.mid,8,1 2 5,4 8,,,,Revisar,
Renaissance_Renaissance-Late_Victoria_OD-01-Taedet_Animam_Meam-s.mid,4,1,4,,,,OK,
Renaissance_Renaissance-Late_Victoria_OD-05-Offertorium-b.mid,6,1 2,6,,,,Revisar,
Renaissance_Renaissance-Late_Victoria_O_Decus_Apostolicum.mid,4,1,4,,,,OK,
Renaissance_Renaissance-Late_Victoria_O_Quam_Gloriosum-3-Credo-b.mid,4,1 4,,,,,Revisar,
Renaissance_Renaissance-Late_Victoria_Quam_Pulchri_Sunt-3-Credo-t.mid,4,1 3,4,,,,Revisar,
Renaissance_Renaissance-Late_Victoria_Rex_Gloriose_Martyrum-t.mid,4,1 2 3,4,,,,Revisar,
Renaissance_Renaissance-Late_Victoria_TR06-Seniores_Populi-s.mid,4,1,4,,,,OK,
Renaissance_Renaissance-Late_Victoria_Vexilla_Regis-b.mid,4,1 4,,,,,Revisar,
Renaissance_Renaissance-Late_Victoria_Victimae_Paschale-2s.mid,8,1 2 5,8,,,,OK,
Renaissance_Renaissance-Middle_Cavalli_cavalli-lormindo_mai_voli.mid,6,3,5 6,,,,OK,
Romanticism_Romantic-Nationalism_Breton_Breton_EscenasAndaluzas-2.mid,19,1 2 3 4,14,,,,,
Romanticism_Romantic-Nationalism_Grieg_lyricpiece-littlebirdop43-4.mid,7,,,2 4 6,3 5 7,,,
Romanticism_Romantic-Nationalism_Mussorgsky_pictures-promenade.mid,9,1 2 6,9,,,,OK,
Romanticism_Romantic-Nationalism_Tchaikovsky_Tchaikovsky-Nutcracker-ChineseDance.mid,9,,,1,2,,,
Romanticism_Romantic-Nationalism_Tchaikovsky_Tchaikovsky-Nutcracker-DanceOfTheReedFlutes.mid,11,,,1,2,,,
Romanticism_Romanticism_Beethoven_2323andantereg.mid,2,,,1,2,,OK,
Romanticism_Romanticism_Beethoven_5thsymp.mid,13,3 4 9,2,,,,OK,
Romanticism_Romanticism_Carulli_843guitar.mid,5,1 3,2 4,,,,,
Romanticism_Romanticism_Chopin_Variations_on_a_Theme_from_Herolds_Ludovic_Op12.mid,4,,,1,4,,OK,
Romanticism_Romanticism_Chopin_sonata_Bbm_Op35_No2_3.Marche_funebre.mid,3,,,2,3,,,
Romanticism_Romanticism_Sarasate_Sarasate_Zapateado.mid,17,1 2 13 14,17,,,,OK,
Romanticism_Romanticism_Schubert_Var_on_Anselm_Huttenbrenner_in_Am_D.576.4.mid,2,,,1,2,,OK,
Romanticism_Romanticism_Schumann_811scn15_5.mid,6,,,1,2,,,
Romanticism_Romanticism_Schumann_Fantasy_for_Clarinet_and_Piano_Op.73_no3.mid,4,2,,,,1,OK,
Romanticism_Romanticism_Schumann_Short_Piano_In_a_Gondola.mid,8,,,7,8,,,
Romanticism_Romanticism_Strauss_Johann_fledermausquadrille.mid,4,,,2 3,1 4,,,
Romanticism_Romanticism_Strauss_Johann_straussj_viennalife.mid,8,6,,,,,OK,
XXCentury_Misc_Grainger_irish_tune.mid,9,1 2,8,,,,OK,
XXCentury_Misc_Grainger_molly.mid,21,1 2 3 4,7 14,,,,Revisar,
XXCentury_Neoclassicism_Satie_2684gnossinnes5.mid,2,,,1,2,,OK,
XXCentury_XX-Nationalism_Vaughan_Williams_WilliamsV_FantasiaTallis.mid,16,1 2 5 11,10 15,,,,OK,
