Nombre_fichero;N_Pistas;melody;bass;piano_rh;piano_lh;mixdown;;;;
Romanticism_Romanticism_Alkan_ALK39N03.mid;7;4;;;;;;;xxxxx;
Romanticism_Romanticism_Beethoven_2212bagat6reg.mid;2;;;1;2;;Copyright 2001 Reg;Reginald Steven Ritchie;OK;
Romanticism_Romanticism_Beethoven_B9-1-MAA.mid;19;1;14;;;;Flute;Bass;OK;
Romanticism_Romanticism_Beethoven_HAMMKLV4.mid;4;;;1;2;;Right Hand;;OK;
Romanticism_Romanticism_Beethoven_NO2ING_O.mid;5;1;;;;;Ludwig van Beethoven:;;xxxxx;
Romanticism_Romanticism_Bizet_bizet_carmen_16bis.mid;4;1;;3;4;;Staff-1;Left Hand;OK;
Romanticism_Romanticism_Brahms_14.mid;8;;;1 3;2 4;;Piano 1(R.H.)                   V;Piano 2(L.H.)                   V;OK;
Romanticism_Romanticism_Brahms_brahms_requiem_1.mid;6;1 2;4;5;6;;Sopran;Bass;OK;
Romanticism_Romanticism_Chopin_bi130-3.mid;2;;;1;2;;rechte Hand;;OK;
Romanticism_Romanticism_Chopin_CH_25-08.mid;24;1;;;;;  ;;xxxxxx;
Romanticism_Romanticism_Chopin_Nocturne_No14_in_F#m_Op.48_Nocturne_No2.mid;3;;;1;2;;RIGHT HAND;;OK;
Romanticism_Romanticism_Chopin_Prelude_Op28_No6_in_Bm_Tolling_Bells_2.mid;10;;3;;;;Strings             ;Cellos              ;OK;
Romanticism_Romanticism_Chopin_valse14.mid;5;1;;;;;Grand Piano         ;;OK;
Romanticism_Romanticism_Chopin_waltz7.mid;6;1;;;;;Piano;;xxxxx;
Romanticism_Romanticism_Delibes_Delibes_La_Valse.mid;15;1 2 3 11;15;;;;Flute;B.S. Lengton;OK;
Romanticism_Romanticism_Donizetti_DONIZTTIoverture.mid;7;3;7;;;;;;xxxxx;
Romanticism_Romanticism_Gounod_1194goun-unk.mid;10;1 2 4;7 9;;;;;;OK;
Romanticism_Romanticism_Jullien_Jullien_Tarantelle.mid;20;1 2 3 4 5 16;20;;;;by Louis Jullien(1812-1860);;OK;
Romanticism_Romanticism_Schumann_Bilder_ais_Osten_Op.66_no.5.mid;4;;;1 2;3 4;;Grand Piano;Instrument19;OK;
Romanticism_Romanticism_Schumann_Concerto_Piano_and_Orch_Op.92_intro.mid;21;1 2 3 9;13 14;;;;flutes;contra basses;OK;
Romanticism_Romanticism_Schumann_Short_Piano_Hide_and_Seek.mid;8;;;7;8;;Right Hand;Left Hand;OK;
Romanticism_Romanticism_Strauss_Johann_Bludanube_piano.mid;14;2 3;14;;;;;;OK;
Romanticism_Romanticism_Sullivan_1276gpyeo1.mid;10;6;10;;;;;;xxxxx;
Romanticism_Romanticism_Wolf_1597ich.mid;14;1;;;;;;HUGO WOLF;OK;
XXCentury_Impressionism_Debussy_013_apresmid.mid;8;1;8;;;;Track 1;Track 8;OK;
XXCentury_Impressionism_Debussy_013_shepherd.mid;5;1;;;;;Pianoforte;;xxxxx;
XXCentury_Impressionism_Ravel_piano_conc_inG_mov1.mid;32;5;12;;;;Eb Clarinet;Timpani;xxxxx;
XXCentury_Misc_Balasanyan_balasanyan-horsemen.mid;26;1 2 3 4 5 6;10 26;;;;Piccolo;Basses;OK;
XXCentury_Misc_Grainger_childrensmarch.mid;4;;;1 3;2 4;;sequenced by David Siu;Room-music tit-bits No. 4;OK;
XXCentury_Neoclassicism_Hindemith_Symph_metamorphosis_mov1.mid;16;2 3 4 5;16;;;;Flute and piccolo;Double bass;OK;
XXCentury_Neoclassicism_Hindemith_Symph_metamorphosis_mov3.mid;9;1 2;;;;;Flute;Tuba;OK;
XXCentury_XX-Nationalism_Barrios_Mangore_barrios_mangore_tango_no2_ed.mid;3;;;1;2;;Staff;;OK;
XXCentury_XX-Nationalism_Elgar_ee2432.mid;35;2;10;;;;flute 2;contrabassoon;xxxxx;
XXCentury_XX-Nationalism_Gershwin_GershwinPC3.mid;32;1;13;;;;Piccolo;K Tuba;xxxxx;
XXCentury_XX-Nationalism_Knipper_cavalry.mid;17;1 2 3 4 ;10 17;;;;the Steppes;;OK;
XXCentury_XX-Nationalism_Nielsen_Nielsen_6th-2.mid;10;1;6;;;;Piccolo;Trombone;xxxxx;
XXCentury_XX-Nationalism_Sibelius_karelia_interemezzo.mid;16;1 2 3 4;10 15;;;;Timpani;Bassoons;OK;
XXCentury_XX-Nationalism_Tarrega_tarrega_lagrima.mid;2;1;2;;;;sequenced by;;xxxxx;
