Nombre_fichero;N_Pistas;melody;bass;piano_rh;piano_lh;mixdown;;;
Renaissance_Renaissance-Late_Palestrina_2155gpbndcts.mid;10;5 7;9 10;;;;Contralto I. (tenor1);Bass II.;OK
Renaissance_Renaissance-Late_Praetorius_vom_gimmel_och_da_komm_ich_her.mid;10;2;5;;;;1;4;OK
Renaissance_Renaissance-Late_Victoria_Alma_Redemptoris-2-Gloria.mid;8;1 5;4 8;;;;1s;1b;OK
Renaissance_Renaissance-Late_Victoria_Ascendens_Christus_In_Altum-4-Sanctus-b.mid;5;1;5;;;;b;b;OK
Renaissance_Renaissance-Late_Victoria_Ave_Maris_Stella-6-Agnus_Dei-2t.mid;5;1 4;5;;;;s;b;OK
Renaissance_Renaissance-Late_Victoria_Ave_Regina-6-Agnus_Dei-1t.mid;8;1 3 5;4 8;;;;2s;2b;OK
Renaissance_Renaissance-Late_Victoria_Conditor_Alme_Siderum-s.mid;4;1;4;;;;s;b;OK
Renaissance_Renaissance-Late_Victoria_Dixit_Dominus_bis_bis-s.mid;4;1;4;;;;s;b;OK
Renaissance_Renaissance-Late_Victoria_Dum_Complerentur-6-Agnus_Dei-2t.mid;7;6;7;;;;1s;b;OK
Renaissance_Renaissance-Late_Victoria_Ecce_Sacerdos_Magnus-c.mid;4;1 2;4;;;;s;b;OK
Renaissance_Renaissance-Late_Victoria_Gaudeamus-5-Benedictus-1s.mid;6;1;6;;;;1s;b;OK
Renaissance_Renaissance-Late_Victoria_Laetatus_Sum-1-Kyrie-4s.mid;12;1 9;8 12;;;;1s;3b;OK
Renaissance_Renaissance-Late_Victoria_LJ6-Aleph_Ego_Vir-2c.mid;6;4;6;;;;1c;b;OK
Renaissance_Renaissance-Late_Victoria_LJbis2-Vau_Et_Egressus_Est-c.mid;5;3;5;;;;1s;b;OK
Renaissance_Renaissance-Late_Victoria_Magnificat_Quinti_Toni-impares-2t.mid;5;3 4;5;;;;1t;b;OK
Renaissance_Renaissance-Late_Victoria_Misa_Quarti_Toni-2-Gloria-s.mid;4;1;4;;;;s;b;OK
Renaissance_Renaissance-Late_Victoria_Nunc_Dimittis-s.mid;4;1;4;;;;t;b;OK
Renaissance_Renaissance-Late_Victoria_O_Magnum_Mysterium-2-Gloria-c.mid;4;2;4;;;;s;b;OK
Renaissance_Renaissance-Late_Victoria_O_Quam_Gloriosum-5-Benedictus-s.mid;4;1;4;;;;s;b;OK
Renaissance_Renaissance-Late_Victoria_OD-02-Introitus.mid;6;1 2;6;;;;1s;b;OK
Renaissance_Renaissance-Late_Victoria_Simile_Est_Regnum_Coelorum-5-Benedictus-b.mid;4;4;;;;;s;b;OK
Renaissance_Renaissance-Late_Victoria_Surge_Propera-2-Gloria-2t.mid;5;4;5;;;;1t;b;OK
Renaissance_Renaissance-Late_Victoria_SV02-Confitebor_Tibi-b.mid;4;4;;;;;s;b;OK
Romanticism_Post-romanticism_Bruckner_Bruk7-1.mid;25;10;20;;;;Trombe 3. in F;Basso;xxxxx
Romanticism_Post-romanticism_Messager_2906mirette13.mid;5;1 2 3;;4;5;;Mirette;Gerard;OK
Romanticism_Post-romanticism_Rachmaninoff_rachmaninoff_ave_maria.mid;5;1;4;;;;S;B;OK
Romanticism_Post-romanticism_Rachmaninoff_symph_no1_op25_mov3.mid;12;1;12;;;;"Symphony No.1 in D ""Classical""";;OK
Romanticism_Romantic-Nationalism_Dvorak_dvop22-3.mid;15;1;10;;;;Violini I-1;Contrabassi-1;OK
Romanticism_Romantic-Nationalism_Sousa_1760n735sousa.mid;7;1;2 4;;;;Treble;;OK
Romanticism_Romanticism_Alkan_1169alk76n3.mid;6;3;;;;;;;xxxxx
Romanticism_Romanticism_Beethoven_5thSymph_B5TH-4G.mid;23;1;23;;;;WinJammer Demo;WinJammer Demo;OK
Romanticism_Romanticism_Beethoven_concierto_piano_5_2-3.mid;19;10;15;;;;Pianoforte;Contrabasso;xxxxx
Romanticism_Romanticism_Beethoven_SYMP1.mid;9;;;;;;;;xxxxx
Romanticism_Romanticism_Beethoven_Symphonie5_Opus67_Mvt2.mid;8;1;3;;;;Track 1;Track 3;xxxxx
Romanticism_Romanticism_Beethoven_Symphonie7_Opus92_Mvt3-cvikl.mid;12;1 2;12;;;;Flauti;Bassi;OK
Romanticism_Romanticism_Brahms_BRAHMS24.mid;17;12;10;;;;Violin I;Tuba;OK
Romanticism_Romanticism_Brahms_hun7.mid;2; ;;1;2;;;;OK
Romanticism_Romanticism_Chopin_19_Polish_Songs_for_Voice_and_Piano_Op74_19.Reverie.mid;2;1;;;;;Voice;;OK
Romanticism_Romanticism_Chopin_Krakowiak_Op14.mid;17;1 2;9;;;;Track 1;Chopin;OK
Romanticism_Romanticism_Chopin_Prelude_Op28_No24_in_Dm_The_Storm_3.mid;2;;;1;2;;;;OK
Romanticism_Romanticism_Chopin_Valse_No10_in_Bm_Op.69_No2_2.mid;4;;;1;2;;;;OK
Romanticism_Romanticism_Heller_2081melody5reg.mid;2;;;1;2;;Copyright 2001 Reg;Reginald Steven Ritchie;OK
Romanticism_Romanticism_Heller_2159melody8reg.mid;2;;;1;2;;Copyright 2001 Reg;;OK
Romanticism_Romanticism_Liszt_1558earlking.mid;14;;;1;2;;Erlkonig - The Witch King;;OK
Romanticism_Romanticism_Mendelssohn_239Bridalch.mid;3;;3;1;2;;Upper Manual;Pedal;OK
Romanticism_Romanticism_Schubert_shubavem.mid;4;3;1;;;;Voice;Piano-1;OK
Romanticism_Romanticism_Verdi_1609verdilux.mid;5;1 2;3;4;5;;Tenor;Bass;OK
XXCentury_Impressionism_Debussy_9_petite1.mid;10;;;;;;;;xxxxx
XXCentury_Impressionism_Debussy_debussy-estampes_jardin_pluie.mid;2;;;1;2;;;;OK
XXCentury_Impressionism_Debussy_debussy-prelude_1livre_06.mid;7;;;1;2;;Right Treble;Left Bass;OK
XXCentury_Impressionism_Debussy_gmclair.mid;4;;;1;2;;Piano Right Hand;Piano Left Hand;OK
XXCentury_Misc_Britten_litle_babe.mid;10;1 2;4;5;6;;sop;bass;OK
XXCentury_Neoclassicism_Stravinsky_2809stravinsky2.mid;17;1 2 3 6;17;;;;Flute 1;Double Basses;OK
XXCentury_Neoclassicism_Stravinsky_stravin3.mid;12;4 5;7;;;;soprano;bottom staff;OK
XXCentury_XX-Nationalism_Barrios_Mangore_abarrios-reloj.mid;4;1;4;;;;Choir Aahs;Instrument4;OK
XXCentury_XX-Nationalism_Bartok_Bartok_Roumanian-3.mid;7;;;1;2;;Right Hand;Left Hand;OK
XXCentury_XX-Nationalism_Bartok_Bartok_Roumanian-4.mid;7;;;1;2;;Right Hand;Left Hand;OK
XXCentury_XX-Nationalism_Galynin_galynin_no1_mov3.mid;25;17;12;;;;Korg Piano;Cymbals;xxxxx
XXCentury_XX-Nationalism_Holst_FIRST-2.mid;31;1 2 3 5 16;15 24;;;;C Piccolo;Bass Sax;OK
XXCentury_XX-Nationalism_Joplin_The_Entertainer.mid;5;;;1;2 3;;The Entertainer     ;Scott Joplin        ;OK
XXCentury_XX-Nationalism_Khachaturian_Carpet.mid;33;1;22;;;;Piccolo;GM Piano-2;xxxxx
XXCentury_XX-Nationalism_Khachaturian_khach2-4.mid;31;1;13;;;;Piccolo;K Tuba;xxxxx
XXCentury_XX-Nationalism_Vaughan_Williams_Seasongs.mid;20;1 2 3 4;13;;;;;;OK
XXCentury_XX-Nationalism_Villalobos_prole_do_bebe_no1_no4_petite_mulatrese.mid;15;;;1 2;3;;Piano Right Hand;aux Right Hand;OK
