Nombre_fichero,N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,,,,
Romanticism_Romanticism_Chopin_Piano_Sonata_No3_in_Bm_Op.58_mov4.Finale_Presto_non_tanto.mid,2,,,1,2,,,,OK,
Romanticism_Romanticism_Chopin_Polonaise_in_Cm_Op.40_No.2.mid,4,,,1 3,2 4,,1Melodie main droite,2Accompagnement main gauche,OK,
Romanticism_Romanticism_Gounod_GP_FA_MS.mid,13,13,12,,,,,,xxxxx,muchas dudas
Romanticism_Romanticism_Liszt_Christmas_Tree_9.Evening_Bells.mid,16,1 2,,,,,Track 1,,OK,
Romanticism_Romanticism_Mendelssohn_mendel05.mid,7,6,,,,,Melody  (BB),,OK,
Romanticism_Romanticism_Panofka_panofka_24_vocalises_ttes_voix_16.mid,3,1,,2,3,,chant,piano 2,OK,
Romanticism_Romanticism_Panofka_panofka_24_vocalises_ttes_voix_22.mid,3,1,,2,3,,chant,piano 2,OK,
Romanticism_Romanticism_Rossini_barber-overture.mid,15,7 11,15,,,,,,OK,
Romanticism_Romanticism_Rossini_WTELLCEN.mid,16,3 5 8,,,,,woodwinds           ,lo pizz             ,OK,
Romanticism_Romanticism_Schubert_1266d960m3.mid,8,,,1,2,,Right,,OK,
Romanticism_Romanticism_Schubert_First_Waltzes_D.365_Op.9.mid,4,1,4,,,,Grand Piano,Instrument19,OK,dudas
Romanticism_Romanticism_Schubert_Var_on_Anselm_Huttenbrenner_in_Am_D.576.13.mid,2,,,,,,,,xxxxx,ninguna pista
Romanticism_Romanticism_Schumann_Zigeunerleben_Op.29_No.3.mid,6,3 4 5 6,,1,2,,          (ike_chan@d1.dion.ne.jp),by R. SCHUMANN,OK,
Romanticism_Romanticism_Wagner_VALKYRIE.mid,29,4 8 18,5 20,,,,woodwinds           ,FHV                 ,OK,
XXCentury_Impressionism_Debussy_012_debima04.mid,8,1,5,,,,No. 01 Treble,No. 03 Bass,OK,
XXCentury_Impressionism_Debussy_013_jimbo.mid,5,1,1,,,,Pianoforte,Pianoforte,xxxxx,solo una pista
XXCentury_Misc_Messiaen_1331banquetc.mid,6,6,,,,,Pedale 2',Pedale 8',OK,
XXCentury_Neoclassicism_Prokofiev_piano_conc_no3_op26_mov1.mid,16,1 2 3 4 12,16,,,,Piccolo,Bass,OK,muchas pistas
XXCentury_XX-Nationalism_Albeniz_albesp5.mid,8,,,1,2,,Piano right,,OK,
XXCentury_XX-Nationalism_Gershwin_2131prgybess.mid,10,3 4,6,,,,Ch  2   ,Ch  5   ,OK,
XXCentury_XX-Nationalism_Holst_first_suite_op28_march.mid,17,1 2 3 4 13,9 17,,,,Suite in E flat,,OK,
XXCentury_XX-Nationalism_Holst_Jupiter.mid,28,16,17,,,,Tenor Tuba in Bb,Bass Tuba,xxxxx,demasiadas pistas
XXCentury_XX-Nationalism_Janacek_JANSINF5.mid,26,2,13,,,,Piccolo,Tuba,OK,
XXCentury_XX-Nationalism_Janacek_TarasBulba3.mid,39,29,38,,,,Tremolo Strings,Basses,xxxxx,
XXCentury_XX-Nationalism_Nielsen_symp_no2_finale.mid,19,1 3 13,19,,,,Flutes,Pizz Basses,OK,
XXCentury_XX-Nationalism_Tarrega_tarrega_preludio_no1.mid,2,1,2,,,,,, OK,
XXCentury_XX-Nationalism_Villalobos_prole_do_bebe_no1_no4_mulatinha.mid,17,1,8,9 10,,,Violin,Cello,xxxxx,discordante
XXCentury_XX-Nationalism_Villalobos_prole_do_bebe_no1_no7_polichinelo_2.mid,15,,,1 2,3,,aux Right Hand,,OK,
