Nombre_fichero;N_Pistas;melody;bass;piano_rh;piano_lh;mixdown;;;;
Baroque_Baroque-Middle_Rosenmuller_45padal_m.mid;4;1 2;3 4;;;;Cantus I;Basso pro Organo;OK;
Classicism_Classicism_Clementi_clementi-sonatina_no3parb.mid;2;;;1;2;;Piano RH;Piano LH;OK;
Classicism_Classicism_Cramer_2335cr39d.mid;12;1;;;;;Cramer's Studies;;xxxxx;
Classicism_Classicism_Haydn_haydn-6.mid;5;;;1;3;;;;OK;
Classicism_Classicism_Haydn_hydn65_4.mid;8;4 5;8;;;;2 Oboi;Basso;OK;
Classicism_Classicism_Hummel_hummel-2var_op2_no1_lass_of_richmond_hill.mid;15;;;;;;;;xxxxx;
Classicism_Classicism_Mozart_ANDCASAT.mid;3;;;1;2;;VEU 1;VEU 2;OK;
Classicism_Classicism_Mozart_arias-004-vamodi.mid;12;1;8 12;;;;;;OK;
Classicism_Classicism_Mozart_arias-4-508_2.mid;3;1;3;;;;;;OK;
Classicism_Classicism_Mozart_mozart11.mid;7;6;;;;;Melody  (BB);;OK;
Classicism_Classicism_Mozart_mozart18.mid;7;6;1;;;;Melody  (BB);Bass    (BB);OK;
Classicism_Classicism_Mozart_mozart_kv346.mid;3;1 2;3;;;;S1;B;OK;
Classicism_Classicism_Mozart_mozart_lieder_ridente_la_calma.mid;4;4;;2;3;;Staff-1;--;OK;
Classicism_Classicism_Mozart_mozart_requiem_12_agnus_dei.mid;7;1;4;5;6;;Soprani;Bassi;OK;
Classicism_Classicism_Mozart_mozhorn2.mid;7;2 3;7;;;;Corno principale in D;Basso;OK;
Classicism_Classicism_Mozart_mz_333_1.mid;7;;;1;2;;Piano right;;OK;
Classicism_Classicism_Mozart_mz_quarc.mid;4;1 2;4;;;;WinJammer Demo;WinJammer Demo;OK;
Classicism_Classicism_Mozart_WAMJOKE2.mid;7;4 5;7;;;;;;OK;
Classicism_Classicism_Selby_selby-voluntary_viii.mid;7;;;1;2;;Organ RH;Organ LH;OK;
Classicism_Pre-classicism_Scarlatti_scad_302.mid;2;1;;;;;;;xxxxx;
Classicism_Pre-classicism_Soler_1476soler91c.mid;2;;;1;2;;Right Hand;Left Hand;OK;
Medieval_ArsAntiqua_Anonymous_laude-jocunda-smp.mid;5;2;4;;;;; ;OK;
Medieval_ArsNova_Anonymous_lamento_di_tristano.mid;9;2;3;;;;s;t;xxxxx;
Medieval_ArsNova_Machau_machaut-b39.mid;4;2;4;;;;Mes esperis se combat               ;seq by n.nakamura;OK;
Medieval_ArsNova_Senleches_senle03.mid;4;2;4;;;;[A-01] En attendant esperance;[A-03] seq by n.nakamura;OK;
Renaissance_Renaissance-Early_Binchois_Binchois16.mid;3;1;2 3;;;;Staff;Staff-1;OK;
Renaissance_Renaissance-Early_Cornysh_blow_thy_horne_hunter.mid;9;2;4;;;;alto;bass;OK;
Renaissance_Renaissance-Early_Escobar_pasame_por_dios_varquero.mid;9;2;4;;;;s;t;OK;
Renaissance_Renaissance-Late_Dowland_dowland-lady_rich_galliard.mid;2;1;;;;;John Dowland (1563-1626);;xxxxx;dos pistas iguales
Renaissance_Renaissance-Late_Dowland_dowland_if_my_complaints.mid;10;12 3 4;5;;;;soprano;bass;OK;
Renaissance_Renaissance-Late_Morley_morley_lady_those_eyes.mid;9;2 3;4;;;;a;b;OK;
Renaissance_Renaissance-Late_Palestrina_palestrina_canticum_canticorum_03.mid;5;1 2 3;5;;;;S;Staff-1;OK;
Renaissance_Renaissance-Late_Palestrina_sacra_giovanni_pierluigi_da_palestrina_missa_ave_regina_coelorum_agnus_dei.mid;9;1 2;4;;;;Cantus;Bassus;OK;
Renaissance_Renaissance-Late_Schutz_schutz-sinfonia.mid;4;1;4;;;;Cornetto I.;Cornetto IV.;xxxxx;todas son melodias?
Renaissance_Renaissance-Late_Victoria_Alma_Redemptoris-3-Credo-1c.mid;8;1 5;4 8;;;;1b;1b;OK;
Renaissance_Renaissance-Late_Victoria_Alma_Redemptoris_Mater.mid;8;1 2 5 6;8;;;;1s;2b;OK;
Renaissance_Renaissance-Late_Victoria_Ave_Maria-a_8-2b.mid;8;1 5;4 8;;;;1s;2b;OK;
Renaissance_Renaissance-Late_Victoria_Ave_Maria-a_8-2s.mid;8;1 5;4 8;;;;1s;2b;OK;
Renaissance_Renaissance-Late_Victoria_Ave_Maris_Stella-2-Gloria-c.mid;4;1 2;4;;;;s;b;OK;
Renaissance_Renaissance-Late_Victoria_Benedictus_Dominus.mid;4;1 2;4;;;;s;b;OK;
Renaissance_Renaissance-Late_Victoria_De_Beata_Maria-6-Agnus_Dei.mid;7;1 2;7;;;;1t;b;OK;
Renaissance_Renaissance-Late_Victoria_Dum_Complerentur-2-Gloria-1t.mid;6;1 2 5;6;;;;s;b;OK;
Renaissance_Renaissance-Late_Victoria_Dum_Complerentur-5-Benedictus.mid;7;1 2;7;;;;1s;b;OK;
Renaissance_Renaissance-Late_Victoria_Exultet_Coelum_Laudibus-t.mid;4;1 2 3;4;;;;s;b;OK;
Renaissance_Renaissance-Late_Victoria_Falsobordon-1-2t.mid;5;1 4;5;;;;s;b;OK;
Renaissance_Renaissance-Late_Victoria_Falsobordon-2-s.mid;5;1;5;;;;s;b;OK;
Renaissance_Renaissance-Late_Victoria_Falsobordon-5-1t.mid;5;1 3;5;;;;s;b;OK;
Renaissance_Renaissance-Late_Victoria_Gaudeamus-6-Agnus_Dei-2t.mid;7;1 2 6;7;;;;1s;b;OK;
Renaissance_Renaissance-Late_Victoria_Hostis_Herodes_Impie.mid;4;1;4;;;;b;b;OK;
Renaissance_Renaissance-Late_Victoria_Jesu_Nostra_Redemptio-s.mid;4;1;4;;;;b;b;OK;
Renaissance_Renaissance-Late_Victoria_Laetatus_Sum-4-Sanctus_y_Benedictus.mid;12;1 2 5 9;4 8 12;;;;4s;2b;OK;
Renaissance_Renaissance-Late_Victoria_Laetatus_Sum-5-Agnus_Dei-4s.mid;12;1 2 5 9;4 8 12;;;;1b;2b;OK;
Renaissance_Renaissance-Late_Victoria_Laetatus_Sum-5-Agnus_Dei.mid;12;1 2 5 9;4 8 12;;;;1b;2b;OK;
Renaissance_Renaissance-Late_Victoria_Magi_Viderunt_Stellam.mid;4;1;4;;;;b;b;OK;
Renaissance_Renaissance-Late_Victoria_Magnificat_Primi_Toni-2c.mid;9;1 2 5 6;8;;;;1s;b;OK;
Renaissance_Renaissance-Late_Victoria_Magnificat_Primi_Toni-impares-1t.mid;6;1 2 4;6;;;;1s;b;OK;
Renaissance_Renaissance-Late_Victoria_Magnificat_Quarti_Toni-impares-1c.mid;5;1 2;5;;;;s;b;OK;
Renaissance_Renaissance-Late_Victoria_Magnificat_Septimi_Toni-impares.mid;5;1;5;;;;b;b;OK;dudas melodia pistas 3y 4
Renaissance_Renaissance-Late_Victoria_Magnificat_Tertii_Toni-impares-1t.mid;5;1 3;5;;;;1t;b;OK;
Renaissance_Renaissance-Late_Victoria_Nigra_Sum_Sed_Formosa-2t.mid;6;1 2 5;6;;;;1s;b;OK;
Renaissance_Renaissance-Late_Victoria_O_Sacrum_Convivium_a_6-1c.mid;6;1 2;6;;;;s;b;OK;
Renaissance_Renaissance-Late_Victoria_Pro_Victoria-1-Kyrie-2b.mid;9;1 2 6;5 9;;;;1s;2b;OK;
Renaissance_Renaissance-Late_Victoria_Quam_Pulchri_Sunt-3-Credo-b.mid;4;1;4;;;;b;b;OK;
Renaissance_Renaissance-Late_Victoria_Quam_Pulchri_Sunt-6-Agnus_Dei-1b.mid;7;1 2 3;6 7;;;;2s;1b;OK;
Renaissance_Renaissance-Late_Victoria_Requiem_a_4_voces-06-Agnus_Dei-s.mid;8;1;4;;;;s;b;OK;
Renaissance_Renaissance-Late_Victoria_Simile_Est_Regnum_Coelorum-1-Kyrie.mid;4;1;4;;;;s;b;OK;
Renaissance_Renaissance-Late_Victoria_Simile_Est_Regnum_Coelorum-4-Sanctus-s.mid;4;1;4;;;;s;b;OK;
Renaissance_Renaissance-Late_Victoria_SV03-Beatus_Vir-s.mid;4;1;4;;;;s;b;OK;
Renaissance_Renaissance-Late_Victoria_TR14-O_Vos_Omnes-t.mid;4;1 2;4;;;;1s;t;OK;Pista 4 bajo o melodia?
Renaissance_Renaissance-Late_Victoria_Trahe_Me_Post_Te-6-Agnus_Dei-2t.mid;6;1 5;6;;;;b;b;OK;
Renaissance_Renaissance-Late_Victoria_Vexilla_Regis_More_Hispano-t.mid;6;1 2 3 4;6;;;;b;b;OK;
Renaissance_Renaissance-Late_Victoria_Victoria_Apocrifo-Ave_Maria.mid;4;1 2;4;;;;s;b;OK;
Renaissance_Renaissance-Middle_Anonymous_christmas_coventry-Midd.mid;10;2;;;;;melody;bells;OK;
Renaissance_Renaissance-Middle_DaMilano_damilano-fantasia.mid;2;1;2;;;;Francesco da Milano (1497-1543);Fantasia;xxxxx;dos pistas iguales
Renaissance_Renaissance-Middle_Gervaise_bransle_gay_V.mid;10;2;5;;;;s;b;OK;
Renaissance_Renaissance-Middle_Janequin_La_Guerre_Clement_Janequin.mid;4;1;4;;;;               ;;OK;
Renaissance_Renaissance-Middle_Senfl_wohl_kumbt_der_mai_i.mid;10;2;5;;;;1;4;OK;
Romanticism_Post-romanticism_Rachmaninoff_RACH1_1.mid;10;;;;;;;;OK;
Romanticism_Post-romanticism_Rachmaninoff_symph_no5_op100_mov3.mid;24;5;9;;;;Es CLARINET;CONTRA BASSOON;;
Romanticism_Post-romanticism_Respighi_pines_rome_pt1_ch32.mid;32;1;8;;;;Piccolo;Dbl. Bassoon;xxxxx;que locura
Romanticism_Post-romanticism_Saint_Saens_AveVerumSaintSaens.mid;4;1;4;;;;s;b;OK;
Romanticism_Post-romanticism_Saint_Saens_Saint-Saens_carnaval03.mid;21;7;10;;;;1er Piano 1;2d Piano 2;;
Romanticism_Post-romanticism_Saint_Saens_Saint-Saens_carnaval12.mid;21;4;16;;;;Clarinette Sib;Contrebasse;;
Romanticism_Post-romanticism_Scriabin_etude_op56_no4.mid;6;;;1;3;;Right;Left Bass;OK;
Romanticism_Post-romanticism_Scriabin_etude_op8_no6.mid;5;;;1;2 3;;Treble;;OK;
Romanticism_Romantic-Nationalism_Arensky_14arenskiy.mid;10;;;1;2;;Piano1              ;;OK;
Romanticism_Romantic-Nationalism_Dvorak_Dvorak-Symph9a.mid;34;3;20;;;;Flute1;Trombone basso;xxxxx;Pendiente, muchas pistas
Romanticism_Romantic-Nationalism_German_824princereg.mid;5;;;1;2;;A Princess of Kensington Introduction composed by Edward German;Sequenced by Reginald Steven Ritchie copyright July 1999;OK;
Romanticism_Romantic-Nationalism_Smetana_smetmol.mid;25;1 3 12;16;;;;Piccolo;Contrabasso;OK;
Romanticism_Romantic-Nationalism_Sousa_washpost.mid;21;1 11 12;8 16;;;;Bells;Bass;OK;
Romanticism_Romantic-Nationalism_Tchaikovsky_marche.mid;11;1;11;;;;Flute;Pizz Strings;xxxxx;
Romanticism_Romanticism_Beethoven_B7-4-MAA.mid;18;1 9;13;;;;Flute;Bass;OK;
Romanticism_Romanticism_Beethoven_BAGA1.mid;2;;;;;;;;xxxxx;Pistas vacias?
Romanticism_Romanticism_Beethoven_lvb053b.mid;7;4;;;;;;;xxxxx;Solo una pista valida
Romanticism_Romanticism_Beethoven_Sonate12_Opus26.mid;5;1;5;;;;No Name;No Name;OK;
