Nombre_fichero;N_Pistas;melody;bass;piano_rh;piano_lh;mixdown;;;;;
Renaissance_Renaissance-Late_Victoria_LJ9-Incipit_Oratio_Jeremiae-2t.mid;8;1 2;7 8;;;;1b;1b;changed;;
Renaissance_Renaissance-Late_Victoria_Magnificat_Secundi_Toni-impares-2c.mid;5;1;5;;;;s;b;ok;;
Renaissance_Renaissance-Late_Victoria_O_Ildenphonse-1c.mid;8;1 2 5;4 8;;;;1b;2b;changed;;
Renaissance_Renaissance-Late_Victoria_OD-09-Versa_Est_In_Luctum-2s.mid;6;1 2;6;;;;1s;b;changed;;
Renaissance_Renaissance-Late_Victoria_Pro_Victoria-4-Sanctus-2s.mid;9;1 2;9;;;;1s;2b;changed;;
Renaissance_Renaissance-Late_Victoria_Quem_Vidistis_Pastores-2s.mid;6;1 2;6;;;;1s;b;changed;;
Renaissance_Renaissance-Late_Victoria_Requiem_a_4_voces-03-Graduale-c.mid;4;1;4;;;;s;b;ok;;
Renaissance_Renaissance-Late_Victoria_Salve-2-Gloria-3s.mid;8;5;4 8;;;;1s;2b;changed;;
Renaissance_Renaissance-Late_Victoria_Salve-4-Sanctus_y_Benedictus-2c.mid;8;1;8;;;;1s;2b;ok;;
Renaissance_Renaissance-Late_Victoria_Salve_Regina-a_6-1s.mid;6;1;6;;;;1s;b;ok;;
Renaissance_Renaissance-Late_Victoria_TR11-Iesum_Tradidit_Impius.mid;4;1;4;;;;1s;t;ok;;
Renaissance_Renaissance-Late_Victoria_Vere_Languores_Nostros_Ipse_Tulit-s.mid;4;1;4;;;;s;b;error;error con anvil-studio;***
Renaissance_Renaissance-Late_Victoria_Vidi_Speciosam-2-Gloria-1s.mid;6;1;6;;;;1s;b;ok;;
Renaissance_Renaissance-Middle_Susato_susato-la_morisque.mid;11;6;5;;;;;ﾩ1995mjstarke;ok;;
Romanticism_Post-romanticism_Bruckner_bruckner_locus_iste.mid;4;1;4;;;;S;B;ok;;
Romanticism_Post-romanticism_Dupre_1510n15pn04.mid;8;2 7;5;;;;pan107;pan40;changed;;
Romanticism_Post-romanticism_Rachmaninoff_moment_op16_no2.mid;1;1;;;;;;;NOT;solo una pista;***
Romanticism_Post-romanticism_Saint_Saens_Saint-Saens_Septet65-2.mid;9;2;6;;;;Trumpet in E flat;Double bass;changed;;
Romanticism_Post-romanticism_Scriabin_SCR08_12.mid;16;1;;;;;Etude Op8 No 12;;NOT;solo una pista valida;***
Romanticism_Post-romanticism_Scriabin_SCR09_01.mid;9;1;;;;; ;;NOT;solo una pista valida;***
Romanticism_Romantic-Nationalism_Arriaga_Arrgescl.mid;20;1 2 12;16;;;;Flauta 1;Contrabajo;changed;;
Romanticism_Romantic-Nationalism_German_2360pokoo.mid;2;1;;;;;;;ok;;
Romanticism_Romantic-Nationalism_Rimsky_Korsakov_gp_tumb.mid;17;1 2 3 4;17;;;;Dance of the tumblers;;changed;;
Romanticism_Romantic-Nationalism_Tchaikovsky_tcsl20.mid;25;2 4;12 20 21;;;;Piccolo;Tuba;changed;;
Romanticism_Romanticism_Alkan_38.mid;6;3;;;;;Piano;;NOT;solo una pista valida;***
Romanticism_Romanticism_Alkan_SALTAREL.mid;8;1;;1;2;;Right Hand 1;;changed;;
Romanticism_Romanticism_Beethoven_6thSymph_6SYMPH_4.mid;22;1 2 5;22 16;;;;1-Flute;Timpani;changed;;
Romanticism_Romanticism_Beethoven_himno.mid;1;;;;;;;;NOT;;***
Romanticism_Romanticism_Brahms_BRAHMS_R1.mid;20; ; ;;;;Flute               ;Bass                ;changed;;
Romanticism_Romanticism_Brahms_Waltzes_Op.39_No.1_in_B.mid;2; ; ;1;2;;Piano;Piano;changed;;
Romanticism_Romanticism_Chopin_19_Polish_Songs_for_Voice_and_Piano_Op74_17.Hymn_From_The_Tomb.mid;2;2;;;;;Voice;Piano;changed;;
Romanticism_Romanticism_Chopin_CHMUZ7N2.mid;6;;;;;;;;NOT;solo una pista valida;***
Romanticism_Romanticism_Chopin_chop06m1.mid;1;1;;;;;Piano;;NOT;;***
Romanticism_Romanticism_Chopin_chop2815.mid;1;0;;;;;;;NOT;;***
Romanticism_Romanticism_Chopin_chopinnocturne9.mid;1;1;;;;;;;NOT;;***
Romanticism_Romanticism_Chopin_Grande_Polonaise_Brilliante_Op.22_3.mid;7;1;;;;;Frederic Chopin:;;NOT;solo una pista valida;***
Romanticism_Romanticism_Chopin_Prelude_Op28_No11_in_B_Dragon_Fly.mid;7;1;;1;2;;Piano right;;changed;;
Romanticism_Romanticism_Chopin_Scherzo_No1_in_Bm_Op20.mid;1;0;;;;;Scherzo in Si minore Op.20;;NOT;;***
Romanticism_Romanticism_Liszt_Au_Bord_Dune_Source_2.mid;1;0;;;;;untitled;;NOT;;***
Romanticism_Romanticism_Liszt_Hung_Rhapsodie_No16.mid;7; ;;1;2;;;;changed;;
Romanticism_Romanticism_Liszt_Polonaise_in_E_No2.mid;12;1;;;;;piano;;NOT;solo una pista valida;***
Romanticism_Romanticism_Schubert_Divertissement_Hongroise_D.818_Op.54_1.Andante.mid;4;1;4;;;;Grand Piano;Instrument19;ok;;
Romanticism_Romanticism_Schumann_Piano_Concerto_Am_Op.54_movs23.mid;10;1;;;;;Piano Concerto in A minor;;NOT;solo una pista valida;
Romanticism_Romanticism_Sullivan_2573chieftain201.mid;3;1; ;2;3;;;B;changed;;
XXCentury_Expressionism_Schoenberg_pierrot_lunaire_17_parodie.mid;5; ; ;;;;;;changed;;
XXCentury_Impressionism_Debussy_debussy-prelude_2livre_18.mid;8;;5;;;;Upper Treble;Lower Bass;changed;;
XXCentury_Impressionism_Debussy_debussy-preludes_ondine_water_sprite.mid;1;0;;;;;;;NOT;;***
XXCentury_Impressionism_Faure_nocturne_no4.mid;10;1;;;;;;;NOT;solo una pista valida;***
XXCentury_Misc_Balasanyan_balasanyan-round_dance.mid;29;1 2 3;27 29;;;;Korg Glockenspiel;Pizz Basses;changed;;
XXCentury_XX-Nationalism_Albeniz_110.mid;1;1;;;;;Sevilla;;NOT;;***
XXCentury_XX-Nationalism_Albeniz_86.mid;2; ; ;;;;ALBENIZ: Aragon Op 47/6;apurdam@pcug.org.au;changed;;
XXCentury_XX-Nationalism_Barrios_Mangore_abarrios-epitafio.mid;4;1; ;;;;Choir Aahs;Instrument4;changed;;
XXCentury_XX-Nationalism_Holst_SECOND-4.mid;31;1 2 3 4 5 ;24;;;;Piccolo;Orchestral Bass Drum;changed;;
XXCentury_XX-Nationalism_Orff_orff_carmina_03.mid;11;1 2 3 4; ;;;;Piano;Timpani;changed;;
XXCentury_XX-Nationalism_Vaughan_Williams_wasps_NOGM.mid;23; ; ;;;;Flutes;Pizz Cellos;changed;;
XXCentury_XX-Nationalism_Villalobos_suite_infantil_no2_mov3.mid;9;2;;2;3;;Piano R.H.;Piano L.H.;changed;;
Baroque_Baroque-Late_Bach_jsb_ct14.mid;18;6;9;;;;;;changed;no estaba el el cvs creado;
